[GIN-debug] [WARNING] Creating an Engine instance with the Logger and Recovery middleware already attached.

[GIN-debug] [WARNING] Running in "debug" mode. Switch to "release" mode in production.
 - using env:	export GIN_MODE=release
 - using code:	gin.SetMode(gin.ReleaseMode)

[GIN-debug] GET    /health                   --> apiperformancemonitor/internal/api.(*Server).Routes.func1 (4 handlers)
[GIN-debug] POST   /urls                     --> apiperformancemonitor/internal/api.(*Server).addURL-fm (4 handlers)
[GIN-debug] GET    /urls                     --> apiperformancemonitor/internal/api.(*Server).listURLs-fm (4 handlers)
[GIN-debug] DELETE /urls/:id                 --> apiperformancemonitor/internal/api.(*Server).deleteURL-fm (4 handlers)
[GIN-debug] GET    /checks                   --> apiperformancemonitor/internal/api.(*Server).recentChecks-fm (4 handlers)
[GIN-debug] GET    /status                   --> apiperformancemonitor/internal/api.(*Server).latestStatus-fm (4 handlers)
[GIN-debug] [WARNING] You trusted all proxies, this is NOT safe. We recommend you to set a value.
Please check https://pkg.go.dev/github.com/gin-gonic/gin#readme-don-t-trust-all-proxies for details.
[GIN-debug] Listening and serving HTTP on :8080
[GIN] 2025/09/09 - 04:49:08 | 200 |         610µs |             ::1 | GET      "/urls"
[GIN] 2025/09/09 - 04:49:08 | 200 |     654.625µs |             ::1 | GET      "/checks?url_id=2&limit=50"
[GIN] 2025/09/09 - 04:49:18 | 200 |     729.417µs |             ::1 | GET      "/checks?url_id=2&limit=50"
[GIN] 2025/09/09 - 04:49:28 | 200 |     356.208µs |             ::1 | GET      "/urls"
[GIN] 2025/09/09 - 04:49:28 | 200 |     363.209µs |             ::1 | GET      "/checks?url_id=2&limit=50"
[GIN] 2025/09/09 - 04:49:28 | 204 |      10.625µs |             ::1 | OPTIONS  "/urls"
[GIN] 2025/09/09 - 04:49:28 | 200 |    2.850833ms |             ::1 | POST     "/urls"
[GIN] 2025/09/09 - 04:49:28 | 200 |     916.958µs |             ::1 | GET      "/urls"
[GIN] 2025/09/09 - 04:49:28 | 200 |     279.958µs |             ::1 | GET      "/checks?url_id=5&limit=50"
[GIN] 2025/09/09 - 04:49:38 | 200 |    1.792334ms |             ::1 | GET      "/checks?url_id=5&limit=50"
[GIN] 2025/09/09 - 04:49:48 | 200 |    1.080875ms |             ::1 | GET      "/urls"
[GIN] 2025/09/09 - 04:49:48 | 200 |     600.458µs |             ::1 | GET      "/checks?url_id=2&limit=50"
[GIN] 2025/09/09 - 04:49:58 | 200 |    1.154875ms |             ::1 | GET      "/checks?url_id=2&limit=50"
[GIN] 2025/09/09 - 04:50:08 | 200 |     389.542µs |             ::1 | GET      "/urls"
[GIN] 2025/09/09 - 04:50:08 | 200 |      339.25µs |             ::1 | GET      "/checks?url_id=2&limit=50"
[GIN] 2025/09/09 - 04:50:18 | 200 |    1.681834ms |             ::1 | GET      "/checks?url_id=2&limit=50"
[GIN] 2025/09/09 - 04:50:23 | 200 |     628.375µs |             ::1 | GET      "/urls"
[GIN] 2025/09/09 - 04:50:23 | 200 |       321.5µs |             ::1 | GET      "/checks?url_id=2&limit=50"
[GIN] 2025/09/09 - 04:50:33 | 200 |    1.010958ms |             ::1 | GET      "/checks?url_id=2&limit=50"
[GIN] 2025/09/09 - 04:50:33 | 200 |     485.708µs |             ::1 | GET      "/checks?url_id=5&limit=50"
[GIN] 2025/09/09 - 04:50:43 | 200 |      356.75µs |             ::1 | GET      "/urls"
[GIN] 2025/09/09 - 04:50:43 | 200 |     413.042µs |             ::1 | GET      "/checks?url_id=5&limit=50"
[GIN] 2025/09/09 - 04:50:43 | 200 |      364.25µs |             ::1 | GET      "/checks?url_id=2&limit=50"
[GIN] 2025/09/09 - 04:50:49 | 200 |     372.292µs |             ::1 | GET      "/checks?url_id=5&limit=50"
[GIN] 2025/09/09 - 04:50:57 | 200 |     315.417µs |             ::1 | GET      "/urls"
[GIN] 2025/09/09 - 04:50:57 | 200 |     318.084µs |             ::1 | GET      "/checks?url_id=2&limit=1"
[GIN] 2025/09/09 - 04:50:57 | 200 |     296.667µs |             ::1 | GET      "/checks?url_id=5&limit=1"
[GIN] 2025/09/09 - 04:50:57 | 200 |     360.209µs |             ::1 | GET      "/checks?url_id=2&limit=50"
[GIN] 2025/09/09 - 04:51:07 | 200 |     766.209µs |             ::1 | GET      "/checks?url_id=2&limit=50"
[GIN] 2025/09/09 - 04:51:07 | 200 |     534.625µs |             ::1 | GET      "/checks?url_id=2&limit=1"
[GIN] 2025/09/09 - 04:51:07 | 200 |    8.641625ms |             ::1 | GET      "/checks?url_id=5&limit=1"
[GIN] 2025/09/09 - 04:51:09 | 200 |    1.109417ms |             ::1 | GET      "/checks?url_id=5&limit=50"
[GIN] 2025/09/09 - 04:51:13 | 200 |    1.367667ms |             ::1 | GET      "/checks?url_id=2&limit=50"
[GIN] 2025/09/09 - 04:51:13 | 200 |     490.916µs |             ::1 | GET      "/checks?url_id=5&limit=50"
[GIN] 2025/09/09 - 04:51:14 | 200 |     473.041µs |             ::1 | GET      "/checks?url_id=2&limit=50"
[GIN] 2025/09/09 - 04:51:17 | 200 |    1.248125ms |             ::1 | GET      "/urls"
[GIN] 2025/09/09 - 04:51:17 | 200 |    2.567292ms |             ::1 | GET      "/checks?url_id=5&limit=1"
[GIN] 2025/09/09 - 04:51:17 | 200 |    2.930042ms |             ::1 | GET      "/checks?url_id=2&limit=1"
[GIN] 2025/09/09 - 04:51:17 | 200 |     390.292µs |             ::1 | GET      "/checks?url_id=2&limit=50"
[GIN] 2025/09/09 - 04:51:27 | 200 |     573.292µs |             ::1 | GET      "/checks?url_id=2&limit=50"
[GIN] 2025/09/09 - 04:51:27 | 200 |     531.292µs |             ::1 | GET      "/checks?url_id=2&limit=1"
[GIN] 2025/09/09 - 04:51:27 | 200 |     441.084µs |             ::1 | GET      "/checks?url_id=5&limit=1"
[GIN] 2025/09/09 - 04:51:37 | 200 |      529.25µs |             ::1 | GET      "/urls"
[GIN] 2025/09/09 - 04:51:37 | 200 |     887.875µs |             ::1 | GET      "/checks?url_id=2&limit=1"
[GIN] 2025/09/09 - 04:51:37 | 200 |     927.416µs |             ::1 | GET      "/checks?url_id=5&limit=1"
[GIN] 2025/09/09 - 04:51:37 | 200 |     335.958µs |             ::1 | GET      "/checks?url_id=2&limit=50"
[GIN] 2025/09/09 - 04:51:47 | 200 |       817.5µs |             ::1 | GET      "/checks?url_id=2&limit=50"
[GIN] 2025/09/09 - 04:51:47 | 200 |    1.756875ms |             ::1 | GET      "/checks?url_id=5&limit=1"
[GIN] 2025/09/09 - 04:51:47 | 200 |       1.828ms |             ::1 | GET      "/checks?url_id=2&limit=1"
[GIN] 2025/09/09 - 04:51:57 | 200 |     408.667µs |             ::1 | GET      "/urls"
[GIN] 2025/09/09 - 04:51:57 | 200 |     310.041µs |             ::1 | GET      "/checks?url_id=2&limit=1"
[GIN] 2025/09/09 - 04:51:57 | 200 |     426.958µs |             ::1 | GET      "/checks?url_id=5&limit=1"
[GIN] 2025/09/09 - 04:51:57 | 200 |      415.25µs |             ::1 | GET      "/checks?url_id=2&limit=50"
[GIN] 2025/09/09 - 04:52:07 | 200 |       328.5µs |             ::1 | GET      "/checks?url_id=5&limit=1"
